"Municipio" "Habitantes" "Provincia" "INE" "AMB" "lat" "lon"
"Abella de la Conca" 179 "Lleida" "25001" "0" 42.16123 1.09207
"Abrera" 12489 "Barcelona" "08001" "0" 41.51945 1.89934
"Àger" 588 "Lleida" "25002" "0" 42.00304 0.76408
"Agramunt" 5371 "Lleida" "25003" "0" 41.78649 1.09321
"Aguilar de Segarra" 288 "Barcelona" "08002" "0" 41.73969 1.63029
"Agullana" 831 "Girona" "17001" "0" 42.39428 2.84727
"Aiguafreda" 2504 "Barcelona" "08014" "0" 41.76882 2.25027
"Aiguamúrcia" 901 "Tarragona" "43001" "0" 41.32986 1.35873
"Aiguaviva" 756 "Girona" "17002" "0" 41.93809 2.76358
"Aitona" 2591 "Lleida" "25038" "0" 41.49433 0.46011
"els Alamús" 819 "Lleida" "25004" "0" 41.61618 0.73684
"Alàs i Cerc" 329 "Lleida" "25005" "0" 42.3513 1.50682
"l'Albagés" 369 "Lleida" "25006" "0" 41.44827 0.73948
"Albanyà" 157 "Girona" "17003" "0" 42.30519 2.72044
"Albatàrrec" 2221 "Lleida" "25007" "0" 41.57356 0.60651
"Albesa" 1556 "Lleida" "25008" "0" 41.75129 0.65914
"l'Albi" 764 "Lleida" "25009" "0" 41.42541 0.9391
"Albinyana" 2438 "Tarragona" "43002" "0" 41.24542 1.49081
"l'Albiol" 485 "Tarragona" "43003" "0" 41.25207 1.08934
"Albons" 776 "Girona" "17004" "0" 42.10481 3.08559
"Alcanar" 9418 "Tarragona" "43004" "0" 40.54204 0.4815
"Alcanó" 235 "Lleida" "25010" "0" 41.48291 0.61659
"Alcarràs" 9514 "Lleida" "25011" "0" 41.56337 0.52824
"Alcoletge" 3420 "Lleida" "25012" "0" 41.64946 0.69422
"Alcover" 5064 "Tarragona" "43005" "0" 41.26229 1.17191
"l'Aldea" 4160 "Tarragona" "43904" "0" 40.74137 0.61106
"Aldover" 882 "Tarragona" "43006" "0" 40.88069 0.49888
"l'Aleixar" 873 "Tarragona" "43007" "0" 41.2013 1.04476
"Alella" 9801 "Barcelona" "08003" "0" 41.49251 2.29476
"Alfara de Carles" 377 "Tarragona" "43008" "0" 40.87447 0.39924
"Alfarràs" 2797 "Lleida" "25013" "0" 41.83037 0.56863
"Alfés" 312 "Lleida" "25014" "0" 41.52291 0.61932
"Alforja" 1801 "Tarragona" "43009" "0" 41.21238 0.97774
"Algerri" 386 "Lleida" "25015" "0" 41.81399 0.63818
"Alguaire" 2971 "Lleida" "25016" "0" 41.74107 0.5874
"Alins" 276 "Lleida" "25017" "0" 42.54977 1.31781
"Alió" 439 "Tarragona" "43010" "0" 41.29436 1.30618
"Almacelles" 6791 "Lleida" "25019" "0" 41.73122 0.43746
"Almatret" 307 "Lleida" "25020" "0" 41.30549 0.42446
"Almenar" 3398 "Lleida" "25021" "0" 41.79663 0.5701
"Almoster" 1351 "Tarragona" "43011" "0" 41.19716 1.11252
"Alòs de Balaguer" 130 "Lleida" "25022" "0" 41.91217 0.95884
"Alp" 1580 "Girona" "17006" "0" 42.37472 1.88766
"Alpens" 266 "Barcelona" "08004" "0" 42.11953 2.10223
"Alpicat" 6255 "Lleida" "25023" "0" 41.66624 0.557
"Alt Àneu" 405 "Lleida" "25024" "0" 42.63415 1.11043
"Altafulla" 5243 "Tarragona" "43012" "0" 41.14046 1.37733
"Amer" 2298 "Girona" "17007" "0" 42.00941 2.60435
"l'Ametlla de Mar" 6787 "Tarragona" "43013" "0" 40.88535 0.79926
"l'Ametlla del Vallès" 8462 "Barcelona" "08005" "0" 41.66594 2.2654
"l'Ampolla" 3205 "Tarragona" "43906" "0" 40.81219 0.71091
"Amposta" 20738 "Tarragona" "43014" "0" 40.71327 0.58004
"Anglès" 5599 "Girona" "17008" "0" 41.95832 2.6347
"Anglesola" 1363 "Lleida" "25027" "0" 41.65954 1.08408
"Arbeca" 2144 "Lleida" "25029" "0" 41.54249 0.92532
"l'Arboç" 5517 "Tarragona" "43016" "0" 41.2649 1.60288
"Arbolí" 137 "Tarragona" "43015" "0" 41.24218 0.94967
"Arbúcies" 6556 "Girona" "17009" "0" 41.81447 2.51821
"Arenys de Mar" 15776 "Barcelona" "08006" "0" 41.5801 2.55063
"Arenys de Munt" 8931 "Barcelona" "08007" "0" 41.61171 2.54082
"Argelaguer" 397 "Girona" "17010" "0" 42.21561 2.64093
"Argençola" 217 "Barcelona" "08008" "0" 41.59797 1.4438
"l'Argentera" 124 "Tarragona" "43017" "0" 41.1384 0.90928
"Argentona" 12452 "Barcelona" "08009" "0" 41.55638 2.40371
"l'Armentera" 930 "Girona" "17011" "0" 42.17202 3.07453
"Arnes" 455 "Tarragona" "43018" "0" 40.91172 0.26104
"Arres" 65 "Lleida" "25031" "0" 42.75517 0.71106
"Arsèguel" 84 "Lleida" "25032" "0" 42.35074 1.5837
"Artés" 5698 "Barcelona" "08010" "0" 41.79867 1.95497
"Artesa de Lleida" 1504 "Lleida" "25033" "0" 41.55312 0.70577
"Artesa de Segre" 3432 "Lleida" "25034" "0" 41.89606 1.0503
"Ascó" 1660 "Tarragona" "43019" "0" 41.18377 0.5671
"Aspa" 224 "Lleida" "25036" "0" 41.49598 0.6723
"les Avellanes i Santa Linya" 449 "Lleida" "25037" "0" 41.90952 0.76198
"Avià" 2226 "Barcelona" "08011" "0" 42.08017 1.8189
"Avinyó" 2275 "Barcelona" "08012" "0" 41.86328 1.97237
"Avinyonet de Puigventós" 1610 "Girona" "17012" "0" 42.25034 2.91295
"Avinyonet del Penedès" 1701 "Barcelona" "08013" "0" 41.36133 1.77616
"Badalona" 220440 "Barcelona" "08015" "1" 41.45051 2.24491
"Badia del Vallès" 13380 "Barcelona" "08904" "1" 41.50804 2.11414
"Bagà" 2138 "Barcelona" "08016" "0" 42.25306 1.86209
"Baix Pallars" 335 "Lleida" "25039" "0" 42.32242 1.06361
"Balaguer" 17162 "Lleida" "25040" "0" 41.78967 0.80652
"Balenyà" 3821 "Barcelona" "08017" "0" 41.81272 2.23497
"Balsareny" 3159 "Barcelona" "08018" "0" 41.86239 1.87324
"Banyeres del Penedès" 3170 "Tarragona" "43020" "0" 41.28022 1.58267
"Banyoles" 19826 "Girona" "17015" "0" 42.11714 2.76469
"Barbens" 878 "Lleida" "25041" "0" 41.67545 1.01947
"Barberà de la Conca" 473 "Tarragona" "43021" "0" 41.41058 1.22771
"Barberà del Vallès" 33091 "Barcelona" "08252" "1" 41.51503 2.12715
"Barcelona" 1636762 "Barcelona" "08019" "1" 41.38804 2.17001
"la Baronia de Rialb" 237 "Lleida" "25042" "0" 41.93282 1.19609
"Bàscara" 1004 "Girona" "17016" "0" 42.15838 2.91059
"Bassella" 224 "Lleida" "25044" "0" 42.00583 1.29527
"Batea" 1890 "Tarragona" "43022" "0" 41.09349 0.31306
"Bausen" 58 "Lleida" "25045" "0" 42.83441 0.71712
"Begues" 7098 "Barcelona" "08020" "1" 41.32951 1.92705
"Begur" 3925 "Girona" "17013" "0" 41.95185 3.20621
"Belianes" 525 "Lleida" "25046" "0" 41.55989 1.01704
"Bellaguarda" 287 "Lleida" "25170" "0" 41.33853 0.73581
"Bellcaire d'Empordà" 693 "Girona" "17018" "0" 42.08101 3.09408
"Bellcaire d'Urgell" 1230 "Lleida" "25047" "0" 41.7577 0.90604
